domein,product_url,product_naam,variant,prijs,vergelijkingsprijs,eenheid,eenheidsprijs,sku,categorieën
noototheek.nl,https://noototheek.nl/products/amandelen-valencia-gebrand-grof-zeezout,Amandelen (Valencia) Gebrand Zeezout,Standaard,6.95,,,,6097357053081,
noototheek.nl,https://noototheek.nl/products/amandelen-valencia-gebrand-grof-zeezout,Amandelen (Valencia) Gebrand Zeezout,Standaard,44.95,,,,8436536120141,
noototheek.nl,https://noototheek.nl/collections/pecannoten,Pecannoten(8),Standaard,7.95,,,,,
noototheek.nl,https://noototheek.nl/products/cadeau-pakket-fijne-feestdagen-noten,Cadeau Pakket Fijne Feestdagen! Noten,Standaard,34.99,,,,6097347269256,
noototheek.nl,https://noototheek.nl/products/superfood-mix-ongebrand,Superfood Mix Ongebrand,Standaard,5.95,,,,6097346891892,
noototheek.nl,https://noototheek.nl/products/superfood-mix-ongebrand,Superfood Mix Ongebrand,Standaard,39.95,,,,6097357617658,
noototheek.nl,https://noototheek.nl/products/superfood-mix-ongebrand,Superfood Mix Ongebrand,Standaard,74.95,,,,6097344618668,
noototheek.nl,https://noototheek.nl/products/bananenchips,Bananenchips,Standaard,2.25,,,,6097354150158,
noototheek.nl,https://noototheek.nl/products/bananenchips,Bananenchips,Standaard,39.95,,,,6097342175118,
noototheek.nl,https://noototheek.nl/products/meergranen-vlokken,Meergranen Vlokken,Standaard,1.95,,,,6097348486416,
noototheek.nl,https://noototheek.nl/products/meergranen-vlokken,Meergranen Vlokken,Standaard,39.95,,,,6097354599568,
noototheek.nl,https://noototheek.nl/products/papaya-blokjes,Papaya Blokjes,Standaard,3.95,,,,6097345375355,
noototheek.nl,https://noototheek.nl/products/papaya-blokjes,Papaya Blokjes,Standaard,14.95,,,,6097352515539,
noototheek.nl,https://noototheek.nl/products/papaya-blokjes,Papaya Blokjes,Standaard,48.95,,,,6097353610639,
noototheek.nl,https://noototheek.nl/products/cashew-rotsjes-karamel-zeezout,Cashew Rotsjes Karamel/Zeezout Melk,Standaard,4.75,,,,6097344256211,
noototheek.nl,https://noototheek.nl/products/cashew-rotsjes-karamel-zeezout,Cashew Rotsjes Karamel/Zeezout Melk,Standaard,13.95,,,,6097351830879,
noototheek.nl,https://noototheek.nl/products/cashew-rotsjes-karamel-zeezout,Cashew Rotsjes Karamel/Zeezout Melk,Standaard,89.95,,,,6097346546525,
noototheek.nl,https://noototheek.nl/products/hennepzaad-gepeld,Hennepzaad Gepeld,Standaard,3.75,,,,6097352662639,
noototheek.nl,https://noototheek.nl/products/hennepzaad-gepeld,Hennepzaad Gepeld,Standaard,8.95,,,,6097344115105,
noototheek.nl,https://noototheek.nl/products/hennepzaad-gepeld,Hennepzaad Gepeld,Standaard,39.95,,,,6097352565565,
noototheek.nl,https://noototheek.nl/products/havervlokken,Havervlokken Grof,Standaard,1.45,,,,6097344116195,
noototheek.nl,https://noototheek.nl/products/havervlokken,Havervlokken Grof,Standaard,6.49,,,,6097351128181,
noototheek.nl,https://noototheek.nl/products/mais-geroosterd,Mais Geroosterd,Standaard,2.5,,,,6097343755784,
noototheek.nl,https://noototheek.nl/products/mais-geroosterd,Mais Geroosterd,Standaard,58.95,,,,6097354026040,
noototheek.nl,https://noototheek.nl/products/paranoten-ongebrand,Paranoten Ongebrand,Standaard,9.95,,,,6097343048008,
noototheek.nl,https://noototheek.nl/products/paranoten-ongebrand,Paranoten Ongebrand,Standaard,19.95,,,,6097349014069,
noototheek.nl,https://noototheek.nl/products/paranoten-ongebrand,Paranoten Ongebrand,Standaard,398.95,,,,6097349977968,
noototheek.nl,https://noototheek.nl/products/gember-gesuikerd,Gember Gesuikerd,Standaard,4.75,,,,6097345555504,
noototheek.nl,https://noototheek.nl/products/gember-gesuikerd,Gember Gesuikerd,Standaard,64.5,,,,6097342474426,
noototheek.nl,https://noototheek.nl/products/gedroogde-appeltjes,Gedroogde Appeltjes,Standaard,3.49,,,,6097356938945,
noototheek.nl,https://noototheek.nl/products/gedroogde-appeltjes,Gedroogde Appeltjes,Standaard,4.95,,,,6097349322331,
noototheek.nl,https://noototheek.nl/products/gedroogde-appeltjes,Gedroogde Appeltjes,Standaard,96.95,,,,6097347798787,
noototheek.nl,https://noototheek.nl/products/rozijnen-gemengd,Rozijnen Gemengd,Standaard,4.5,,,,6097343124191,
